NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,20974+,CME ,0,209,52389,12895,7490,772,12259,8919,1330,9926,13612,5833,1805,3058,425,45246,41438,7143,10951,765,1675,332,-149,929,-218,60,-1370,35,-182,-30,270,59,993,207,-228,559,100,24.6,14.3,1.5,23.4,17,2.5,18.9,26,11.1,3.4,5.8,0.8,86.4,79.1,13.6,20.9,312,28,19,12,63,45,38,42,65,37,22,27,21,207,213,18.1,20,28.4,29.4,17.6,18,26.2,25,(NASDAQ 100 INDEX X $100),20974+,CME ,209,F25,Combined
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,209742,CME ,0,209,261946,64477,37448,3860,61297,44594,6649,49628,68058,29167,9027,15291,2124,226230,207192,35716,54754,3826,8375,1658,-743,4645,-1092,301,-6850,176,-912,-149,1349,297,4964,1033,-1138,2793,100,24.6,14.3,1.5,23.4,17,2.5,18.9,26,11.1,3.4,5.8,0.8,86.4,79.1,13.6,20.9,312,28,19,12,63,45,38,42,65,37,22,27,21,207,213,18.1,20,28.4,29.4,17.6,18,26.2,25,(NASDAQ 100 STOCK INDEX X $20),209742,CME ,209,F25,Combined
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,209747,CME ,0,209,48969,301,1903,0,328,0,0,16683,2238,1472,3070,3616,300,22153,9529,26816,39440,4663,-240,1903,0,-225,0,0,3472,839,450,100,515,-10,3547,3697,1116,966,100,0.6,3.9,0,0.7,0,0,34.1,4.6,3,6.3,7.4,0.6,45.2,19.5,54.8,80.5,23,.,.,0,.,0,0,9,4,6,.,.,.,16,14,34.1,12.8,40.9,16.8,33.8,12.1,38.8,15.4,(NASDAQ 100 STOCK INDEX x $2),209747,CME ,209,F25,Combined
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,210706,06/07/2021,20601,CBT ,0,20,1326060,8396,95946,32797,546845,311417,263321,64441,259231,111248,102103,42946,7699,1136850,1124605,189210,201455,23060,1622,-15013,6221,-12559,5628,5800,-749,14048,9920,-57,-5866,204,10402,20941,12658,2119,100,0.6,7.2,2.5,41.2,23.5,19.9,4.9,19.5,8.4,7.7,3.2,0.6,85.7,84.8,14.3,15.2,202,8,17,18,59,39,59,15,43,38,12,9,6,156,167,24.1,21.6,33.9,33,16.6,17.2,24.6,24.7,"(CONTRACTS OF $100,000 FACE VALUE)",20601,CBT ,20,F30,Combined
ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,210706,06/07/2021,20604,CBT ,0,20,1193028,31941,91932,676,657506,295004,199500,76634,422740,12524,70779,24343,0,1049560,1046719,143468,146309,838,340,-2241,676,14308,7265,-13698,-3843,7361,-320,1327,-43,0,-1211,-1000,2049,1838,100,2.7,7.7,0.1,55.1,24.7,16.7,6.4,35.4,1,5.9,2,0,88,87.7,12,12.3,159,.,13,.,71,29,58,6,25,9,5,7,0,108,120,19.6,31.7,33.2,45.1,15.9,29.6,28.8,40,"(CONTRACTS OF $100,000 FACE VALUE)",20604,CBT ,20,F30,Combined
2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,210706,06/07/2021,42601,CBT ,0,42,2082754,69423,162791,24358,857817,545253,319605,473311,706002,72295,123955,108146,982,1941745,1939431,141009,143323,30677,-10915,28220,-1040,23484,21908,12119,30458,8160,-26068,1038,-21379,-258,28816,21662,1861,9015,100,3.3,7.8,1.2,41.2,26.2,15.3,22.7,33.9,3.5,6,5.2,0,93.2,93.1,6.8,6.9,311,13,35,9,87,50,75,44,49,27,19,14,.,207,216,19.6,27.9,28.1,38.5,17.1,23,24.6,32.7,"(CONTRACTS OF $200,000 FACE VALUE)",42601,CBT ,42,F30,Combined
10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,210706,06/07/2021,43602,CBT ,0,43,4960375,198381,253907,148620,1525830,1493115,860191,1132724,597294,498054,142298,391632,97115,4603213,4339927,357162,620448,14929,33275,-1412,11617,-60922,-60691,37815,33,-65039,18542,-43864,43198,271,-3232,-15700,18161,30629,100,4,5.1,3,30.8,30.1,17.3,22.8,12,10,2.9,7.9,2,92.8,87.5,7.2,12.5,449,21,38,41,76,112,114,61,89,91,24,28,12,337,370,18.1,18.7,27.4,25.5,11.5,12.6,19.4,18.6,"(CONTRACTS OF $100,000 FACE VALUE)",43602,CBT ,43,F30,Combined
ULTRA 10-YEAR U.S. T-NOTES - CHICAGO BOARD OF TRADE,210706,06/07/2021,43607,CBT ,0,43,1540355,115593,25821,8018,474560,641943,174392,564127,322936,8418,77316,94981,793,1423217,1277302,117138,263053,-1864,-2161,4915,1861,-3405,-19055,-1456,-16819,23774,1505,13948,-5030,1,-6526,6515,4662,-8379,100,7.5,1.7,0.5,30.8,41.7,11.3,36.6,21,0.5,5,6.2,0.1,92.4,82.9,7.6,17.1,164,8,8,4,22,66,51,26,16,12,6,12,.,114,119,26.1,23.4,38.4,33,25.9,21.4,37.7,29.6,"(CONTRACTS OF $100,000 FACE VALUE)",43607,CBT ,43,F30,Combined
5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,210706,06/07/2021,44601,CBT ,0,44,3773279,56690,202968,58172,1822310,1129882,655062,351588,779328,272286,247959,217055,20408,3484475,3335162,288804,438117,-45482,-18896,25872,14023,-53244,4817,10106,-2466,-78574,-3183,10002,-8461,-2302,-45959,-37701,477,-7781,100,1.5,5.4,1.5,48.3,29.9,17.4,9.3,20.7,7.2,6.6,5.8,0.5,92.3,88.4,7.7,11.6,343,13,33,24,83,66,85,38,71,53,11,28,7,238,274,32.3,19.5,43.1,29.8,25.3,18.4,33.8,27,"(CONTRACTS OF $100,000 FACE VALUE)",44601,CBT ,44,F30,Combined
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,210706,06/07/2021,45601,CBT ,0,45,1019905,267592,139428,357770,27801,6318,3166,87351,227090,245838,0,4918,0,989518,984528,30387,35377,-60953,-28776,-50446,4098,7467,-383,-1349,-32701,-2246,-13594,-600,-2447,0,-65455,-66367,4502,5414,100,26.2,13.7,35.1,2.7,0.6,0.3,8.6,22.3,24.1,0,0.5,0,97,96.5,3,3.5,98,21,30,44,.,.,4,19,16,30,0,.,0,81,95,30.2,31.7,47.8,48.2,18,23.3,25.7,28.7,"(CONTRACTS OF $5,000,000)",45601,CBT ,45,F33,Combined
